Column,Name,Age,Nationality,Student,QuestionText
WebFrameWorkedWith,Tofael532,42,USA,N,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
WebFrameDesireNextYear,Tofael533,43,UK,N,"Which of the following web frameworks have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the framework and want to continue to do so, please check both boxes in that row.)"
MiscTechWorkedWith,Tofael534,74,Germany,Y,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
MiscTechDesireNextYear,Tofael535,75,China,N,"Which of the following other frameworks, libraries, and tools have you done extensive development work in over the past year, and which do you want to work in over the next year? (If you both worked with the technology and want to continue to do so, please check both boxes in that row.)"
DevEnviron,Tofael536,76,France,Y,Which development environment(s) do you use regularly?  Please check all that apply.
OpSys,Tofael537,77,Bangladesh,N,What is the primary operating system in which you work?
Containers,Tofael538,78,India,N,"How do you use containers (Docker, Open Container Initiative (OCI), etc.)?"
BlockchainOrg,Tofael539,79,Pakistan,Y,How is your organization thinking about or implementing blockchain technology?
BlockchainIs,Tofael540,80,USA,Y,Blockchain / cryptocurrency technology is primarily:
BetterLife,Tofael541,34,UK,Y,Do you think people born today will have a better life than their parents?
ITperson,Tofael542,35,Germany,N,"Are you the ""IT support person"" for your family?"
OffOn,Tofael543,36,China,Y,Have you tried turning it off and on again?
SocialMedia,Tofael544,37,France,NaN,What social media site do you use the most?
Extraversion,Tofael545,56,Bangladesh,NaN,Do you prefer online chat or IRL conversations?
ScreenName,Tofael546,65,India,NaN,What do you call it?
SOVisit1st,Tofael547,34,Pakistan,N,"To the best of your memory, when did you first visit Stack Overflow?"
SOVisitFreq,Tofael548,88,Morocco,N,How frequently would you say you visit Stack Overflow?
SOVisitTo,Tofael549,89,Saufdi Arabia,Y,I visit Stack Overflow to... (check all that apply)
SOFindAnswer,Tofael550,90,Canada,N,"On average, how many times a week do you find (and use) an answer on Stack Overflow?"
SOTimeSaved,Tofael551,91,USA,Y,"Think back to the last time you solved a coding problem using Stack Overflow, as well as the last time you solved a problem using a different resource. Which was faster?"
SOHowMuchTime,Tofael552,92,UK,N,"About how much time did you save? If you're not sure, please use your best estimate."
SOAccount,Tofael553,93,Germany,N,Do you have a Stack Overflow account?
SOPartFreq,Tofael554,94,China,Y,"How frequently would you say you participate in Q&A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions."
SOJobs,Tofael555,95,France,Y,Have you ever used or visited Stack Overflow Jobs?
EntTeams,Tofael556,96,Bangladesh,Y,Have you ever used Stack Overflow for Enterprise or Stack Overflow for Teams?
SOComm,Tofael557,97,India,N,Do you consider yourself a member of the Stack Overflow community?
WelcomeChange,Tofael558,98,Pakistan,Y,"Compared to last year, how welcome do you feel on Stack Overflow?"
SONewContent,Tofael559,48,USA,N,Would you like to see any of the following on Stack Overflow? Check all that apply.
Age,Tofael560,49,UK,N,"What is your age (in years)? If you prefer not to answer, you may leave this question blank."
Gender,Tofael561,50,Germany,N,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
Trans,Tofael562,51,China,N,Do you identify as transgender?
Sexuality,Tofael563,52,France,NaN,"Which of the following do you currently identify as? Please select all that apply. If you prefer not to answer, you may leave this question blank."
Ethnicity,Tofael564,53,Bangladesh,NaN,"Which of the following do you identify as? Please check all that apply. If you prefer not to answer, you may leave this question blank."
Dependents,Tofael565,54,India,NaN,"Do you have any dependents (e.g., children, elders, or others) that you care for?"
SurveyLength,Tofael566,55,Pakistan,Y,How do you feel about the length of the survey this year?
SurveyEase,Tofael567,56,Morocco,N,How easy or difficult was this survey to complete?
